x,y,z
-33.93,152.79,51.59
-36.45,157.19,48.54
-33.18,159.14,52.51
-35.36,160.95,53.20
-32.07,169.64,54.52
-32.80,173.18,58.49
-29.86,177.54,60.34
-29.42,186.40,59.99
-31.27,187.54,62.47
-28.54,189.37,62.22
-27.12,192.59,64.89
-25.91,196.08,68.07
-28.35,201.13,66.07
-25.58,210.02,71.24
-23.35,212.52,71.78
-23.69,215.75,73.88
-21.95,217.23,76.91
-19.63,236.07,75.61
-20.04,239.05,76.38
-16.70,244.47,81.97
-16.77,254.12,78.55
-16.06,260.62,79.62
-14.13,265.45,83.20
-13.70,277.42,81.03
-10.38,286.37,85.12
-9.24,287.79,88.07
-17.20,295.51,73.50
-8.40,298.78,88.04
-6.75,306.48,87.87
-1.93,308.59,92.10
-5.73,314.70,88.05
0.31,317.02,92.65
3.87,334.00,91.52
-17.30,345.04,64.27
7.09,357.48,89.36
